time	V(n002)	V(n003)
1.643550000000000e-01	4.999492e+00	2.542443e+00
1.643555000000000e-01	1.666158e+00	2.542392e+00
1.643565000000000e-01	-5.084575e-04	2.542290e+00
1.643600000000000e-01	-5.083863e-04	2.541934e+00
1.644000000000000e-01	-5.075732e-04	2.537868e+00
1.644013800000000e-01	-5.075452e-04	2.537729e+00
1.644032199999999e-01	1.270211e+00	2.537587e+00
1.644050000000000e-01	4.999493e+00	2.537539e+00
1.644550000000000e-01	4.999492e+00	2.542457e+00
1.644555000000000e-01	1.666158e+00	2.542406e+00
1.644565000000000e-01	-5.084603e-04	2.542304e+00
1.644600000000000e-01	-5.083891e-04	2.541948e+00
1.645000000000000e-01	-5.075760e-04	2.537883e+00
1.645013800000000e-01	-5.075480e-04	2.537743e+00
1.645032200000000e-01	1.270211e+00	2.537601e+00
1.645050000000000e-01	4.999493e+00	2.537553e+00
1.645550000000000e-01	4.999492e+00	2.542471e+00
1.645555000000000e-01	1.666158e+00	2.542420e+00
1.645565000000000e-01	-5.084632e-04	2.542318e+00
1.645600000000000e-01	-5.083919e-04	2.541962e+00
1.646000000000000e-01	-5.075788e-04	2.537897e+00
1.646013800000000e-01	-5.075508e-04	2.537757e+00
1.646032200000000e-01	1.270211e+00	2.537615e+00
1.646050000000000e-01	4.999493e+00	2.537567e+00
1.646550000000000e-01	4.999492e+00	2.542485e+00
1.646555000000000e-01	1.666158e+00	2.542434e+00
1.646565000000000e-01	-5.084660e-04	2.542332e+00
1.646600000000000e-01	-5.083947e-04	2.541976e+00
1.647000000000000e-01	-5.075816e-04	2.537911e+00
1.647013800000000e-01	-5.075536e-04	2.537771e+00
1.647032200000000e-01	1.270211e+00	2.537629e+00
1.647050000000000e-01	4.999493e+00	2.537581e+00
1.647550000000000e-01	4.999492e+00	2.542499e+00
1.647555000000000e-01	1.666158e+00	2.542448e+00
1.647565000000000e-01	-5.084688e-04	2.542346e+00
1.647600000000000e-01	-5.083975e-04	2.541990e+00
1.648000000000000e-01	-5.075844e-04	2.537925e+00
1.648013800000000e-01	-5.075564e-04	2.537785e+00
1.648032199999999e-01	1.270211e+00	2.537643e+00
1.648050000000000e-01	4.999493e+00	2.537595e+00
1.648550000000000e-01	4.999492e+00	2.542513e+00
1.648555000000000e-01	1.666158e+00	2.542462e+00
1.648565000000000e-01	-5.084716e-04	2.542360e+00
1.648600000000000e-01	-5.084003e-04	2.542004e+00
1.649000000000000e-01	-5.075872e-04	2.537939e+00
1.649013800000000e-01	-5.075592e-04	2.537798e+00
1.649032199999999e-01	1.270211e+00	2.537657e+00
1.649050000000000e-01	4.999493e+00	2.537609e+00
1.649550000000000e-01	4.999492e+00	2.542527e+00
1.649555000000000e-01	1.666158e+00	2.542476e+00
1.649565000000000e-01	-5.084743e-04	2.542374e+00
1.649600000000000e-01	-5.084031e-04	2.542018e+00
1.650000000000000e-01	-5.075900e-04	2.537952e+00
1.650013800000000e-01	-5.075620e-04	2.537812e+00
1.650032200000000e-01	1.270211e+00	2.537671e+00
1.650050000000000e-01	4.999493e+00	2.537623e+00
1.650550000000000e-01	4.999492e+00	2.542541e+00
1.650555000000000e-01	1.666158e+00	2.542490e+00
1.650565000000000e-01	-5.084771e-04	2.542388e+00
1.650600000000000e-01	-5.084059e-04	2.542032e+00
1.651000000000000e-01	-5.075927e-04	2.537966e+00
1.651013800000000e-01	-5.075647e-04	2.537826e+00
1.651032200000000e-01	1.270211e+00	2.537684e+00
1.651050000000000e-01	4.999493e+00	2.537637e+00
1.651550000000000e-01	4.999492e+00	2.542554e+00
1.651555000000000e-01	1.666158e+00	2.542503e+00
1.651565000000000e-01	-5.084798e-04	2.542402e+00
1.651600000000000e-01	-5.084086e-04	2.542046e+00
1.652000000000000e-01	-5.075955e-04	2.537980e+00
1.652013800000000e-01	-5.075674e-04	2.537840e+00
1.652032200000000e-01	1.270211e+00	2.537698e+00
1.652050000000000e-01	4.999493e+00	2.537650e+00
1.652550000000000e-01	4.999492e+00	2.542568e+00
1.652555000000000e-01	1.666158e+00	2.542517e+00
1.652565000000000e-01	-5.084826e-04	2.542415e+00
1.652600000000000e-01	-5.084113e-04	2.542059e+00
1.653000000000000e-01	-5.075982e-04	2.537994e+00
1.653013800000000e-01	-5.075702e-04	2.537853e+00
1.653032199999999e-01	1.270211e+00	2.537712e+00
1.653050000000000e-01	4.999493e+00	2.537664e+00
1.653550000000000e-01	4.999492e+00	2.542582e+00
1.653555000000000e-01	1.666158e+00	2.542531e+00
1.653565000000000e-01	-5.084853e-04	2.542429e+00
1.653600000000000e-01	-5.084141e-04	2.542073e+00
1.654000000000000e-01	-5.076010e-04	2.538007e+00
1.654013800000000e-01	-5.075729e-04	2.537867e+00
1.654032199999999e-01	1.270211e+00	2.537725e+00
1.654050000000000e-01	4.999493e+00	2.537677e+00
1.654550000000000e-01	4.999492e+00	2.542595e+00
1.654555000000000e-01	1.666158e+00	2.542544e+00
1.654565000000000e-01	-5.084880e-04	2.542443e+00
1.654600000000000e-01	-5.084168e-04	2.542086e+00
1.655000000000000e-01	-5.076036e-04	2.538021e+00
1.655013800000000e-01	-5.075756e-04	2.537881e+00
1.655032200000000e-01	1.270211e+00	2.537739e+00
1.655050000000000e-01	4.999493e+00	2.537691e+00
1.655550000000000e-01	4.999492e+00	2.542609e+00
1.655555000000000e-01	1.666158e+00	2.542558e+00
1.655565000000000e-01	-5.084907e-04	2.542456e+00
1.655600000000000e-01	-5.084195e-04	2.542100e+00
1.656000000000000e-01	-5.076064e-04	2.538034e+00
1.656013800000000e-01	-5.075783e-04	2.537894e+00
1.656032200000000e-01	1.270211e+00	2.537752e+00
1.656050000000000e-01	4.999493e+00	2.537704e+00
1.656550000000000e-01	4.999492e+00	2.542622e+00
1.656555000000000e-01	1.666158e+00	2.542571e+00
1.656565000000000e-01	-5.084934e-04	2.542470e+00
1.656600000000000e-01	-5.084222e-04	2.542113e+00
1.657000000000000e-01	-5.076090e-04	2.538048e+00
1.657013800000000e-01	-5.075810e-04	2.537908e+00
1.657032200000000e-01	1.270211e+00	2.537766e+00
1.657050000000000e-01	4.999493e+00	2.537718e+00
1.657550000000000e-01	4.999492e+00	2.542635e+00
1.657555000000000e-01	1.666158e+00	2.542585e+00
1.657565000000000e-01	-5.084961e-04	2.542483e+00
1.657600000000000e-01	-5.084249e-04	2.542127e+00
1.658000000000000e-01	-5.076117e-04	2.538061e+00
1.658013800000000e-01	-5.075837e-04	2.537921e+00
1.658032199999999e-01	1.270211e+00	2.537779e+00
1.658050000000000e-01	4.999493e+00	2.537731e+00
1.658550000000000e-01	4.999492e+00	2.542649e+00
1.658555000000000e-01	1.666158e+00	2.542598e+00
1.658565000000000e-01	-5.084987e-04	2.542496e+00
1.658600000000000e-01	-5.084276e-04	2.542140e+00
1.659000000000000e-01	-5.076144e-04	2.538074e+00
1.659013800000000e-01	-5.075863e-04	2.537934e+00
1.659032199999999e-01	1.270211e+00	2.537793e+00
1.659050000000000e-01	4.999493e+00	2.537745e+00
1.659550000000000e-01	4.999492e+00	2.542662e+00
1.659555000000000e-01	1.666158e+00	2.542611e+00
1.659565000000000e-01	-5.085014e-04	2.542510e+00
1.659600000000000e-01	-5.084302e-04	2.542154e+00
1.660000000000000e-01	-5.076170e-04	2.538088e+00
1.660013800000000e-01	-5.075890e-04	2.537947e+00
1.660032200000000e-01	1.270211e+00	2.537806e+00
1.660050000000000e-01	4.999493e+00	2.537758e+00
1.660550000000000e-01	4.999492e+00	2.542675e+00
1.660555000000000e-01	1.666158e+00	2.542624e+00
1.660565000000000e-01	-5.085040e-04	2.542523e+00
1.660600000000000e-01	-5.084329e-04	2.542167e+00
1.661000000000000e-01	-5.076197e-04	2.538101e+00
1.661013800000000e-01	-5.075916e-04	2.537961e+00
1.661032200000000e-01	1.270211e+00	2.537819e+00
1.661050000000000e-01	4.999493e+00	2.537771e+00
1.661550000000000e-01	4.999492e+00	2.542689e+00
1.661555000000000e-01	1.666158e+00	2.542638e+00
1.661565000000000e-01	-5.085067e-04	2.542536e+00
1.661600000000000e-01	-5.084355e-04	2.542180e+00
1.662000000000000e-01	-5.076223e-04	2.538114e+00
1.662013800000000e-01	-5.075943e-04	2.537974e+00
1.662032200000000e-01	1.270211e+00	2.537832e+00
1.662050000000000e-01	4.999493e+00	2.537784e+00
1.662550000000000e-01	4.999492e+00	2.542702e+00
1.662555000000000e-01	1.666158e+00	2.542651e+00
1.662565000000000e-01	-5.085093e-04	2.542549e+00
1.662600000000000e-01	-5.084381e-04	2.542193e+00
1.663000000000000e-01	-5.076249e-04	2.538127e+00
1.663013800000000e-01	-5.075969e-04	2.537987e+00
1.663032199999999e-01	1.270211e+00	2.537845e+00
1.663050000000000e-01	4.999493e+00	2.537797e+00
1.663550000000000e-01	4.999492e+00	2.542715e+00
1.663555000000000e-01	1.666158e+00	2.542664e+00
1.663565000000000e-01	-5.085120e-04	2.542562e+00
1.663600000000000e-01	-5.084407e-04	2.542206e+00
1.664000000000000e-01	-5.076276e-04	2.538140e+00
1.664013800000000e-01	-5.075995e-04	2.538000e+00
1.664032199999999e-01	1.270211e+00	2.537858e+00
1.664050000000000e-01	4.999493e+00	2.537811e+00
1.664550000000000e-01	4.999492e+00	2.542728e+00
1.664555000000000e-01	1.666158e+00	2.542677e+00
1.664565000000000e-01	-5.085146e-04	2.542575e+00
1.664600000000000e-01	-5.084433e-04	2.542219e+00
1.665000000000000e-01	-5.076302e-04	2.538153e+00
1.665013800000000e-01	-5.076021e-04	2.538013e+00
1.665032200000000e-01	1.270211e+00	2.537872e+00
1.665050000000000e-01	4.999493e+00	2.537823e+00
1.665550000000000e-01	4.999491e+00	2.542741e+00
1.665555000000000e-01	1.666158e+00	2.542690e+00
1.665565000000000e-01	-5.085171e-04	2.542588e+00
1.665600000000000e-01	-5.084460e-04	2.542232e+00
1.666000000000000e-01	-5.076327e-04	2.538166e+00
1.666013800000000e-01	-5.076047e-04	2.538026e+00
1.666032200000000e-01	1.270211e+00	2.537884e+00
1.666050000000000e-01	4.999493e+00	2.537837e+00
1.666550000000000e-01	4.999491e+00	2.542754e+00
1.666555000000000e-01	1.666158e+00	2.542703e+00
1.666565000000000e-01	-5.085198e-04	2.542601e+00
1.666600000000000e-01	-5.084485e-04	2.542245e+00
1.667000000000000e-01	-5.076354e-04	2.538179e+00
1.667013800000000e-01	-5.076073e-04	2.538039e+00
1.667032200000000e-01	1.270211e+00	2.537897e+00
1.667050000000000e-01	4.999493e+00	2.537849e+00
1.667550000000000e-01	4.999491e+00	2.542767e+00
1.667555000000000e-01	1.666158e+00	2.542716e+00
1.667565000000000e-01	-5.085223e-04	2.542614e+00
1.667600000000000e-01	-5.084511e-04	2.542258e+00
1.668000000000000e-01	-5.076379e-04	2.538192e+00
1.668013800000000e-01	-5.076099e-04	2.538052e+00
1.668032199999999e-01	1.270211e+00	2.537910e+00
1.668050000000000e-01	4.999493e+00	2.537862e+00
1.668550000000000e-01	4.999491e+00	2.542780e+00
1.668555000000000e-01	1.666158e+00	2.542729e+00
1.668565000000000e-01	-5.085249e-04	2.542627e+00
1.668600000000000e-01	-5.084537e-04	2.542271e+00
1.669000000000000e-01	-5.076405e-04	2.538205e+00
1.669013800000000e-01	-5.076124e-04	2.538065e+00
1.669032199999999e-01	1.270211e+00	2.537923e+00
1.669050000000000e-01	4.999493e+00	2.537875e+00
1.669550000000000e-01	4.999491e+00	2.542792e+00
1.669555000000000e-01	1.666158e+00	2.542742e+00
1.669565000000000e-01	-5.085274e-04	2.542640e+00
1.669600000000000e-01	-5.084563e-04	2.542284e+00
1.670000000000000e-01	-5.076430e-04	2.538218e+00
1.670013800000000e-01	-5.076150e-04	2.538077e+00
1.670032200000000e-01	1.270211e+00	2.537936e+00
1.670050000000000e-01	4.999493e+00	2.537888e+00
1.670550000000000e-01	4.999491e+00	2.542805e+00
1.670555000000000e-01	1.666158e+00	2.542754e+00
1.670565000000000e-01	-5.085300e-04	2.542652e+00
1.670600000000000e-01	-5.084588e-04	2.542296e+00
1.671000000000000e-01	-5.076455e-04	2.538230e+00
1.671013800000000e-01	-5.076175e-04	2.538090e+00
1.671032200000000e-01	1.270211e+00	2.537949e+00
1.671050000000000e-01	4.999493e+00	2.537900e+00
1.671550000000000e-01	4.999491e+00	2.542818e+00
1.671555000000000e-01	1.666158e+00	2.542767e+00
1.671565000000000e-01	-5.085325e-04	2.542665e+00
1.671600000000000e-01	-5.084613e-04	2.542309e+00
1.672000000000000e-01	-5.076481e-04	2.538243e+00
1.672013800000000e-01	-5.076200e-04	2.538103e+00
1.672032200000000e-01	1.270211e+00	2.537961e+00
1.672050000000000e-01	4.999493e+00	2.537913e+00
1.672550000000000e-01	4.999491e+00	2.542830e+00
1.672555000000000e-01	1.666158e+00	2.542779e+00
1.672565000000000e-01	-5.085351e-04	2.542678e+00
1.672600000000000e-01	-5.084638e-04	2.542322e+00
1.673000000000000e-01	-5.076506e-04	2.538256e+00
1.673013800000000e-01	-5.076226e-04	2.538116e+00
1.673032199999999e-01	1.270211e+00	2.537974e+00
1.673050000000000e-01	4.999493e+00	2.537926e+00
1.673550000000000e-01	4.999491e+00	2.542843e+00
1.673555000000000e-01	1.666158e+00	2.542792e+00
1.673565000000000e-01	-5.085376e-04	2.542690e+00
1.673600000000000e-01	-5.084663e-04	2.542334e+00
1.674000000000000e-01	-5.076531e-04	2.538268e+00
1.674013800000000e-01	-5.076251e-04	2.538128e+00
1.674032199999999e-01	1.270211e+00	2.537986e+00
1.674050000000000e-01	4.999493e+00	2.537938e+00
1.674550000000000e-01	4.999491e+00	2.542856e+00
1.674555000000000e-01	1.666158e+00	2.542805e+00
1.674565000000000e-01	-5.085401e-04	2.542703e+00
1.674600000000000e-01	-5.084689e-04	2.542347e+00
1.675000000000000e-01	-5.076556e-04	2.538281e+00
1.675013800000000e-01	-5.076276e-04	2.538141e+00
1.675032200000000e-01	1.270211e+00	2.537999e+00
1.675050000000000e-01	4.999493e+00	2.537951e+00
1.675550000000000e-01	4.999491e+00	2.542868e+00
1.675555000000000e-01	1.666158e+00	2.542817e+00
1.675565000000000e-01	-5.085426e-04	2.542715e+00
1.675600000000000e-01	-5.084713e-04	2.542359e+00
1.676000000000000e-01	-5.076581e-04	2.538293e+00
1.676013800000000e-01	-5.076301e-04	2.538153e+00
1.676032200000000e-01	1.270211e+00	2.538011e+00
1.676050000000000e-01	4.999492e+00	2.537963e+00
1.676550000000000e-01	4.999491e+00	2.542881e+00
1.676555000000000e-01	1.666158e+00	2.542830e+00
1.676565000000000e-01	-5.085451e-04	2.542728e+00
1.676600000000000e-01	-5.084738e-04	2.542372e+00
1.677000000000000e-01	-5.076606e-04	2.538306e+00
1.677013800000000e-01	-5.076326e-04	2.538165e+00
1.677032200000000e-01	1.270211e+00	2.538024e+00
1.677050000000000e-01	4.999492e+00	2.537976e+00
1.677550000000000e-01	4.999491e+00	2.542893e+00
1.677555000000000e-01	1.666158e+00	2.542842e+00
1.677565000000000e-01	-5.085475e-04	2.542740e+00
1.677600000000000e-01	-5.084763e-04	2.542384e+00
1.678000000000000e-01	-5.076631e-04	2.538318e+00
1.678013800000000e-01	-5.076351e-04	2.538178e+00
1.678032199999999e-01	1.270211e+00	2.538036e+00
1.678050000000000e-01	4.999492e+00	2.537988e+00
1.678550000000000e-01	4.999491e+00	2.542905e+00
1.678555000000000e-01	1.666158e+00	2.542854e+00
1.678565000000000e-01	-5.085500e-04	2.542753e+00
1.678600000000000e-01	-5.084788e-04	2.542397e+00
1.679000000000000e-01	-5.076656e-04	2.538330e+00
1.679013800000000e-01	-5.076375e-04	2.538190e+00
1.679032199999999e-01	1.270211e+00	2.538049e+00
1.679050000000000e-01	4.999492e+00	2.538000e+00
1.679550000000000e-01	4.999491e+00	2.542917e+00
1.679555000000000e-01	1.666158e+00	2.542866e+00
1.679565000000000e-01	-5.085525e-04	2.542765e+00
1.679600000000000e-01	-5.084812e-04	2.542409e+00
1.680000000000000e-01	-5.076680e-04	2.538342e+00
1.680013800000000e-01	-5.076400e-04	2.538202e+00
1.680032200000000e-01	1.270211e+00	2.538061e+00
1.680050000000000e-01	4.999492e+00	2.538013e+00
1.680550000000000e-01	4.999491e+00	2.542930e+00
1.680555000000000e-01	1.666158e+00	2.542879e+00
1.680565000000000e-01	-5.085549e-04	2.542777e+00
1.680600000000000e-01	-5.084837e-04	2.542421e+00
